price_ori,item_rating,price_actual,total_rating,total_sold,favorite,Type of product,Type of product_2,date_date,from,to,fees
29.99,4.0,26.99,1.0,2.0,5.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
34.9,4.9,31.0,2000.0,3100.0,3100.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
25.99,5.0,19.49,2.0,2.0,5.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
19.9,4.8,13.9,95.0,153.0,109.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
21.0,5.0,21.0,899.0,1800.0,130.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
21.0,5.0,8.4,196.0,299.0,17.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
19.0,4.9,19.0,26.0,48.0,29.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
10.0,4.8,10.0,4.0,4.0,8.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.8200000000000001
21.0,5.0,7.99,91.0,229.0,56.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
99.9,5.0,84.9,6.0,9.0,32.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,1.01
59.9,4.8,15.9,351.0,658.0,435.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
25.0,5.0,25.0,7.0,14.0,20.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,4.98
25.0,4.5,25.0,8.0,10.0,36.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,1.01
149.0,5.0,149.0,1.0,2.0,7.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.74
21.0,4.9,21.0,1100.0,2400.0,269.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
25.0,4.9,25.0,14.0,27.0,33.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
21.0,5.0,8.4,765.0,1300.0,82.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.0
15.9,4.9,15.9,58.0,119.0,895.0,women's clothing,tops,2020-11-23,local,kuala lumpur,1.855
269.0,5.0,199.0,2.0,5.0,35.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,0.0
15.9,4.9,15.9,61.0,110.0,439.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,1.855
65.63,5.0,35.63,1.0,1.0,3.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,2.0
15.0,4.8,15.0,32.0,88.0,58.0,men's clothing,pants,2020-11-23,local,kuala lumpur,0.0
25.0,5.0,25.0,4.0,6.0,12.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,4.98
31.9,4.9,9.8,475.0,1300.0,232.0,men's clothing,sports wear,2020-11-23,local,kuala lumpur,0.0
15.9,4.9,15.9,21.0,61.0,85.0,women's clothing,tops,2020-11-23,local,kuala lumpur,1.855
52.62,4.0,25.0,4.0,12.0,47.0,men's clothing,shirts,2020-11-23,overseas,kuala lumpur,0.0
45.0,4.7,45.0,6.0,9.0,52.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,0.0
37.9,2.0,37.9,1.0,3.0,5.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,7.5
29.0,4.8,24.65,30.0,54.0,179.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,0.63
39.9,4.3,39.9,6.0,13.0,74.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,0.0
45.0,5.0,45.0,1.0,1.0,33.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,1.01
49.0,4.7,49.0,3.0,6.0,36.0,men's clothing,tops,2020-11-23,local,kuala lumpur,0.8200000000000001
69.6,4.5,29.6,41.0,70.0,158.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,6.0
43.0,5.0,42.14,1.0,1.0,9.0,men's clothing,pants,2020-11-23,local,kuala lumpur,0.0
15.9,4.8,15.9,25.0,68.0,135.0,men's clothing,t-shirts & singlets,2020-11-23,local,kuala lumpur,1.855
49.9,5.0,49.9,3.0,4.0,12.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,0.0
54.9,4.9,54.9,78.0,152.0,39.0,men's clothing,pants,2020-11-23,local,kuala lumpur,0.0
178.0,5.0,106.8,20.0,42.0,23.0,men's clothing,pants,2020-11-23,local,kuala lumpur,0.505
49.9,5.0,49.9,1.0,4.0,17.0,men's clothing,shirts,2020-11-23,local,kuala lumpur,0.0
32.99,4.5,29.7,33.0,67.0,57.0,men's clothing,pants,2020-11-23,local,kuala lumpur,0.0
45.0,1.0,45.0,1.0,3.0,7.0,men's clothing,shirts,2020-11-23,local,delivery no available,0.0
99.9,5.0,99.9,7.0,8.0,36.0,men's clothing,plus size,2020-11-23,local,kuala lumpur,0.0
50.0,4.9,35.9,1600.0,2600.0,2600.0,men's clothing,pants,2020-11-23,local,kuala lumpur,0.0
49.0,3.0,49.0,1.0,2.0,35.0,men's clothing,outerwear,2020-11-23,local,kuala lumpur,1.01
59.9,4.8,57.9,10.0,24.0,185.0,men's clothing,outerwear,2020-11-23,local,kuala lumpur,12.9
56.9,4.4,54.9,56.0,98.0,271.0,men's clothing,outerwear,2020-11-23,local,kuala lumpur,12.9
27.8,4.3,16.96,4.0,8.0,155.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
39.9,5.0,24.9,2.0,2.0,18.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.0
19.99,4.6,19.99,22.0,63.0,154.0,women's clothing,tops,2020-11-23,local,kuala lumpur,0.0
13.63,5.0,10.9,1.0,2.0,37.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
58.51,4.8,23.98,13.0,22.0,297.0,women's clothing,outerwear,2020-11-23,overseas,kuala lumpur,0.0
69.9,5.0,39.9,1.0,2.0,35.0,women's clothing,outerwear,2020-11-23,local,kuala lumpur,0.0
21.5,4.0,11.82,4.0,4.0,9.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
48.6,5.0,29.16,2.0,3.0,38.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
22.2,4.7,11.99,23.0,59.0,208.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
19.8,5.0,10.7,1.0,1.0,5.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
30.62,4.0,16.84,6.0,13.0,48.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
35.42,4.1,16.5,78.0,145.0,145.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
27.31,4.8,15.0,90.0,228.0,317.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
25.0,5.0,12.5,1.0,1.0,15.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
13.0,4.8,11.3,95.0,162.0,451.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
38.6,5.0,19.3,4.0,8.0,151.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
22.0,4.8,12.98,532.0,1300.0,1300.0,women's clothing,tops,2020-11-23,overseas,kuala lumpur,0.0
37.9,4.9,37.9,342.0,994.0,364.0,watches,men's watches,2020-11-23,local,kuala lumpur,0.0
3.65,4.9,3.65,162.0,499.0,196.0,watches,sports,2020-11-23,local,kuala lumpur,0.0
3.0,4.9,3.0,172.0,501.0,163.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
8.4,4.9,8.4,146.0,952.0,175.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
6.5,5.0,6.5,24.0,50.0,42.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
3.9,4.9,3.9,540.0,2200.0,245.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
5.5,5.0,5.5,97.0,242.0,86.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
10.0,4.9,6.5,1400.0,3100.0,626.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
5.9,4.8,5.9,168.0,577.0,214.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
6.9,4.9,6.9,120.0,300.0,100.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
6.0,4.9,6.0,852.0,2800.0,287.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
19.5,4.1,19.5,41.0,64.0,41.0,watches,men's watches,2020-11-23,local,kuala lumpur,0.0
3.5,4.9,3.5,510.0,2300.0,315.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
5.4,4.9,5.4,1600.0,5600.0,5600.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
29.9,4.9,29.9,3000.0,7400.0,500.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.37
5.9,4.9,5.9,85.0,746.0,41.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
6.2,4.9,6.2,3200.0,11500.0,11500.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
3.8,4.8,3.8,166.0,910.0,142.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
18.0,4.9,18.0,5800.0,23400.0,23400.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
39.9,4.9,7.98,232.0,574.0,179.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
5.9,4.9,5.9,862.0,3100.0,776.0,watches,sports,2020-11-23,local,kuala lumpur,0.0
5.9,4.9,5.9,115.0,774.0,65.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
6.8,5.0,6.8,2400.0,9800.0,9800.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
16.9,4.8,16.9,40.0,598.0,51.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
11.8,4.9,11.8,514.0,1700.0,229.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
4.8,4.8,4.8,93.0,244.0,66.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
13.9,4.9,13.9,1100.0,3900.0,3900.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
21.9,5.0,21.9,3300.0,6800.0,915.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
3.9,4.9,3.9,38.0,95.0,35.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
19.9,4.9,19.9,4900.0,13400.0,13400.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.37
99.0,4.9,18.0,13.0,25.0,13.0,watches,watches,2020-11-23,overseas,kuala lumpur,0.0
6.9,4.9,6.56,1200.0,4900.0,957.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
6.9,4.9,6.9,757.0,3600.0,703.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
13.16,4.9,13.16,4700.0,15200.0,15200.0,baby & toys,boys fashion,2020-11-23,overseas,kuala lumpur,0.0
6.0,4.9,6.0,868.0,3000.0,341.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
8.9,5.0,8.9,87.0,176.0,91.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
19.9,5.0,19.9,3900.0,10600.0,10600.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.37
30.0,4.9,30.0,1500.0,3300.0,810.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
73.8,5.0,73.8,2300.0,4300.0,665.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
29.9,4.9,29.9,1300.0,3100.0,359.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.37
16.5,4.9,16.5,10600.0,27000.0,27000.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
13.5,4.9,13.5,5400.0,13200.0,13200.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
29.0,4.9,9.77,3100.0,10000.0,895.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
19.9,4.9,19.9,3200.0,9000.0,597.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.37
19.9,4.9,19.9,3700.0,10300.0,10300.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.37
5.0,4.9,5.0,519.0,1500.0,129.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
15.9,5.0,15.9,1600.0,3100.0,364.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
8.0,4.8,8.0,2300.0,13300.0,13300.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
5.38,4.9,5.38,92.0,741.0,88.0,watches,women's watches,2020-11-23,local,kuala lumpur,0.0
11.8,4.9,11.8,964.0,2400.0,447.0,baby & toys,boys fashion,2020-11-23,local,kuala lumpur,0.0
4.5,4.9,4.5,500.0,1700.0,410.0,watches,sports,2020-11-23,local,kuala lumpur,0.0
20.68,4.0,20.68,3.0,3.0,1.0,watches,watches,2020-11-23,overseas,kuala lumpur,0.0
36.0,4.9,19.99,97.0,182.0,51.0,watches,watches,2020-11-23,overseas,kuala lumpur,0.0
99.0,4.7,19.8,3.0,7.0,4.0,watches,watches,2020-11-23,local,kuala lumpur,4.5
6.82,5.0,6.82,302.0,628.0,119.0,baby & toys,baby clothing,2020-11-23,local,kuala lumpur,0.0
12.99,4.9,12.99,1800.0,5000.0,5000.0,baby & toys,baby clothing,2020-11-23,local,kuala lumpur,0.0
12.6,4.7,9.45,265.0,604.0,604.0,watches,women's watches,2020-11-23,overseas,kuala lumpur,0.0
3.8,4.7,3.8,296.0,1100.0,640.0,watches,women's watches,2020-11-23,overseas,kuala lumpur,0.0
120.0,4.9,30.0,112.0,184.0,3.0,watches,women's watches,2020-11-23,overseas,kuala lumpur,0.0
76.0,4.9,76.0,279.0,419.0,419.0,watches,women's watches,2020-11-23,overseas,kuala lumpur,0.0
25.34,4.9,25.34,103.0,283.0,180.0,watches,women's watches,2020-11-23,overseas,kuala lumpur,0.0
